Line, Date,Time,Value1,Value2
0,2024-10-12,21:45:19884450,1.500000,1.210000
1,2024-10-12,21:45:19914695,1.670000,5.840000
2,2024-10-12,21:45:19944706,4.440000,5.110000
3,2024-10-12,21:45:2050304,4.240000,2.870000
4,2024-10-12,21:45:2080376,3.260000,7.060000
5,2024-10-12,21:45:20124676,9.350000,8.660000
6,2024-10-12,21:45:20154694,9.480000,0.990000
7,2024-10-12,21:45:20184682,0.830000,8.940000
8,2024-10-12,21:45:20224671,6.080000,3.070000
9,2024-10-12,21:45:20254706,5.660000,4.890000
10,2024-10-12,21:45:20284702,1.110000,7.200000
11,2024-10-12,21:45:20324683,9.430000,5.130000
12,2024-10-12,21:45:20354677,9.270000,8.100000
13,2024-10-12,21:45:20384657,2.070000,1.670000
14,2024-10-12,21:45:20424680,9.150000,3.910000
15,2024-10-12,21:45:20454688,4.380000,7.190000
16,2024-10-12,21:45:20494666,7.840000,2.410000
17,2024-10-12,21:45:20525268,7.500000,7.760000
18,2024-10-12,21:45:20555285,5.350000,8.800000
19,2024-10-12,21:45:20594669,7.280000,2.250000
20,2024-10-12,21:45:20625337,8.130000,2.570000
21,2024-10-12,21:45:20655365,8.770000,8.650000
22,2024-10-12,21:45:20694669,7.640000,7.890000
23,2024-10-12,21:45:20725606,6.200000,2.150000
24,2024-10-12,21:45:20755699,3.240000,4.100000
25,2024-10-12,21:45:20794668,6.420000,1.200000
26,2024-10-12,21:45:20824849,8.200000,9.140000
27,2024-10-12,21:45:20864670,5.990000,3.350000
28,2024-10-12,21:45:20894671,3.060000,2.140000
29,2024-10-12,21:45:20924804,7.260000,5.500000
30,2024-10-12,21:45:20964691,9.210000,3.560000
31,2024-10-12,21:45:20994701,6.370000,4.030000
32,2024-10-12,21:45:2124895,5.780000,5.390000
33,2024-10-12,21:45:2164671,1.360000,8.450000
34,2024-10-12,21:45:2194686,2.820000,1.490000
35,2024-10-12,21:45:21125581,1.270000,0.360000
36,2024-10-12,21:45:21164674,7.900000,6.670000
37,2024-10-12,21:45:21194684,6.200000,0.570000
38,2024-10-12,21:45:21234675,1.660000,0.330000
39,2024-10-12,21:45:21264707,3.390000,3.860000
40,2024-10-12,21:45:21294698,5.450000,4.810000
41,2024-10-12,21:45:21334679,0.560000,4.160000
42,2024-10-12,21:45:21364683,6.720000,0.600000
43,2024-10-12,21:45:21394675,2.150000,3.750000
44,2024-10-12,21:45:21434715,1.460000,1.120000
45,2024-10-12,21:45:21464785,5.900000,0.710000
46,2024-10-12,21:45:21504676,2.370000,6.330000
47,2024-10-12,21:45:21534816,4.470000,3.990000
48,2024-10-12,21:45:21564836,6.800000,0.120000
49,2024-10-12,21:45:21604685,4.430000,0.490000
50,2024-10-12,21:45:21635494,1.200000,4.670000
51,2024-10-12,21:45:21665540,2.830000,8.740000
52,2024-10-12,21:45:21704683,9.850000,6.780000
53,2024-10-12,21:45:21734763,7.260000,7.620000
54,2024-10-12,21:45:21764796,9.700000,4.110000
55,2024-10-12,21:45:21804681,0.170000,1.410000
56,2024-10-12,21:45:21834786,0.550000,8.910000
57,2024-10-12,21:45:21874668,7.020000,6.130000
58,2024-10-12,21:45:21904774,1.160000,0.450000
59,2024-10-12,21:45:21934929,6.000000,7.410000
60,2024-10-12,21:45:21974672,8.460000,0.320000
61,2024-10-12,21:45:224778,8.210000,3.840000
62,2024-10-12,21:45:2234858,7.030000,7.310000
63,2024-10-12,21:45:2274674,0.580000,0.280000
64,2024-10-12,21:45:22104772,6.200000,4.200000
65,2024-10-12,21:45:22134865,7.090000,5.160000
66,2024-10-12,21:45:22174681,5.710000,9.960000
67,2024-10-12,21:45:22204768,0.830000,4.190000
68,2024-10-12,21:45:2224386,5.570000,7.990000
69,2024-10-12,21:45:22273211,9.020000,7.030000
70,2024-10-12,21:45:22303233,1.840000,1.880000
71,2024-10-12,21:45:22344714,4.780000,3.130000
72,2024-10-12,21:45:22374740,6.100000,4.560000
73,2024-10-12,21:45:22404854,6.680000,0.410000
74,2024-10-12,21:45:22444699,7.060000,4.520000
75,2024-10-12,21:45:22475295,8.410000,0.930000
76,2024-10-12,21:45:22505367,2.720000,5.030000
77,2024-10-12,21:45:22544690,5.770000,7.000000
78,2024-10-12,21:45:22574748,1.100000,9.330000
79,2024-10-12,21:45:22614685,1.180000,0.520000
80,2024-10-12,21:45:22644703,1.350000,3.200000
81,2024-10-12,21:45:22674822,0.430000,1.520000
82,2024-10-12,21:45:22714685,5.220000,3.870000
83,2024-10-12,21:45:22744710,5.310000,0.650000
84,2024-10-12,21:45:22775413,3.170000,3.980000
85,2024-10-12,21:45:22814684,7.870000,7.450000
86,2024-10-12,21:45:22844698,3.990000,3.810000
87,2024-10-12,21:45:22900210,8.100000,6.620000
88,2024-10-12,21:45:22930315,7.040000,7.960000
89,2024-10-12,21:45:22960553,0.330000,4.150000
90,2024-10-12,21:45:234680,6.110000,9.230000
91,2024-10-12,21:45:2334704,9.910000,5.820000
92,2024-10-12,21:45:2364792,1.780000,9.690000
93,2024-10-12,21:45:23104684,9.370000,2.770000
94,2024-10-12,21:45:23134702,1.660000,5.470000
95,2024-10-12,21:45:23164786,8.560000,1.080000
96,2024-10-12,21:45:23204680,0.820000,2.340000
97,2024-10-12,21:45:23234718,5.410000,8.630000
98,2024-10-12,21:45:23274775,7.080000,0.510000
99,2024-10-12,21:45:23304909,7.680000,2.530000
